Datetime,A_Optimal - Voltage DC [V],A_Optimal - Current DC [A],A_Optimal - Power DC [W],A_Optimal - Temperature [C],Ambient Temperature [C],Global Radiation [W/m2],Ultraviolet [W/m2],Wind Velocity [m/s],Wind Direction [Deg],Precipitation [mm],day_of_year,hour_and_minute,A_Optimal - Power DC [W]_shift_1440,y_truth,y_pred
2017-10-28 12:45:00,27.386666666666667,7.329,200.717425,40.413333333333334,25.0011108,620.6059306666666,34.8017904,3.8233333333333333,129.67354533333335,0.0,301.0,12.866666666666667,198.77473333333333,198.77473,165.9045
2017-10-28 13:00:00,27.35,7.203166666666666,197.00416666666666,40.973333333333336,24.94333333333333,587.711776,33.0375116,3.568889,130.32180933333333,0.0,301.0,13.116666666666667,194.14424999999997,194.14426,162.16142
2017-10-28 13:15:00,27.473333333333336,7.062,194.0133,41.20666666666667,24.721111333333333,562.7726826666666,31.015489733333332,3.8300001333333333,131.61913466666667,0.0,301.0,13.366666666666667,190.5756,190.5756,161.54033
2017-10-28 13:30:00,27.720000000000002,6.871166666666666,190.43985833333332,40.85333333333333,24.721111599999997,539.0481066666666,28.836739599999998,3.7633334,125.080808,0.0,301.0,13.616666666666667,184.99315833333333,184.99316,145.70378
2017-10-28 13:45:00,27.87,6.6178333333333335,184.43549166666665,39.63333333333333,24.002222533333335,507.8409253333333,26.492360799999997,4.260000000000001,122.67051466666666,0.0,301.0,13.866666666666667,178.59896666666666,178.59897,145.11723
2017-10-28 14:00:00,27.96333333333333,6.343833333333333,177.381675,39.75333333333333,23.471111066666666,463.15270133333337,23.856562133333334,3.6466667999999998,117.89189466666667,0.0,301.0,14.116666666666667,172.138125,172.13812,140.89626
2017-10-28 14:15:00,28.276666666666664,6.025499999999999,170.36978333333334,38.86,23.327778133333332,417.38599733333336,21.203191466666667,3.7455558,123.14876533333333,0.0,301.0,14.366666666666667,164.02525,164.02525,135.28682
2017-10-28 14:30:00,28.459999999999997,5.689333333333334,161.90948333333333,36.580000000000005,23.2811112,368.3542906666667,18.529962533333332,3.378889,122.739764,0.0,301.0,14.616666666666667,155.7426166666667,155.74261,133.93109
2017-10-28 14:45:00,28.709999999999997,5.331,153.04753333333335,36.266666666666666,23.146666533333335,316.2255106666667,15.7548344,2.9755555333333334,114.40828133333333,0.0,301.0,14.866666666666667,146.74032916666664,146.74033,132.64743
2017-10-28 15:00:00,28.766666666666666,4.9155,141.406125,35.72666666666667,23.016667066666667,260.63023733333335,13.044179466666666,3.391111266666667,120.13629733333333,0.0,301.0,15.116666666666667,135.75886666666668,135.75887,120.30708
2017-10-28 15:15:00,28.71333333333333,4.533166666666667,130.15583333333333,34.559999999999995,22.6044444,204.46547733333333,10.3575576,3.5044445333333334,129.18645333333333,0.0,301.0,15.366666666666667,124.1882,124.1882,100.55914
2017-10-28 15:30:00,28.836666666666666,4.0805,117.66278333333334,33.78,22.082222,151.8689786666667,7.864798933333333,2.6122224,117.86297466666666,0.0,301.0,15.616666666666667,111.91593333333334,111.91593,100.21967
2017-10-28 15:45:00,28.77,3.5871666666666666,103.201975,32.36666666666667,21.801111199999998,99.3211552,5.600278,2.183333466666667,117.79645733333334,0.0,301.0,15.866666666666667,99.131675,99.131676,79.24911
2017-10-28 16:00:00,29.003333333333334,3.0521666666666665,88.509075,31.853333333333335,21.54111066666667,51.931936666666665,3.6753152666666664,1.8633334,111.61891066666666,0.0,301.0,16.116666666666667,84.76498333333333,84.764984,76.1148
2017-10-28 16:15:00,29.123333333333335,2.5073333333333334,73.02889166666667,31.193333333333335,21.1566668,22.107926266666666,2.1408529333333335,1.2133333333333334,103.55791040000001,0.0,301.0,16.366666666666667,69.46118333333334,69.46118,70.44019
2017-10-28 16:30:00,29.06,1.9171666666666667,55.73354166666666,30.48,20.792222,8.881024733333334,1.0675025333333332,0.8433334666666668,98.65691946666666,0.0,301.0,16.616666666666667,53.60629166666667,53.606293,46.028297
2017-10-28 16:45:00,28.683333333333334,0.9373333333333334,26.820725,30.459999999999997,20.485555599999998,3.3259741999999997,0.5929696666666666,0.5244444,107.45947413333333,0.0,301.0,16.866666666666667,25.308066666666665,25.308067,31.396685
2017-10-28 17:00:00,27.209999999999997,0.262,7.134408333333334,29.166666666666668,20.23555533333333,1.9331171333333332,0.5112395333333333,0.4866666,116.31824,0.0,301.0,17.116666666666667,6.018116666666667,6.0181165,6.4438467
2017-10-28 17:15:00,27.383333333333333,0.12733333333333333,3.4413583333333335,26.986666666666668,19.965555866666666,1.8128397333333335,0.5083105333333333,0.3722222,142.79790053333332,0.0,301.0,17.366666666666667,2.87235,2.87235,6.403969
2017-10-28 17:30:00,19.66,0.025500000000000002,0.6801833333333334,26.459999999999997,19.5966664,1.6880054,0.5075310666666667,0.3877778,102.1995484,0.0,301.0,17.616666666666667,0.7004553571428571,0.70045537,6.4008536
2017-10-29 06:45:00,7.5,0.036875000000000005,0.7355,14.225,14.5375,5.3425375,0.9496891249999999,1.75833325,316.3757525,0.0,302.0,6.925,0.8755745714285714,0.8755746,6.399517
2017-10-29 07:00:00,19.586666666666666,0.33766666666666667,6.6165416666666665,14.506666666666666,14.622222133333333,15.006710733333334,1.6959004666666668,1.4655555999999998,317.25722666666667,0.0,302.0,7.116666666666666,6.25955,6.25955,6.399709
2017-10-29 07:15:00,22.535000000000004,0.8754166666666666,20.2405,15.42,14.842222533333334,38.78098586666667,3.0961689333333333,0.7566667333333333,307.795152,0.0,302.0,7.366666666666666,17.146425,17.146425,6.3990297
2017-10-29 07:30:00,30.10666666666667,1.4024999999999999,42.22148333333334,16.706666666666667,15.037777866666666,75.43003973333334,4.877591466666667,0.9066667333333334,327.104236,0.0,302.0,7.616666666666666,40.92261666666666,40.922615,30.848047
2017-10-29 07:45:00,29.966666666666665,2.0051666666666668,60.062891666666665,19.540000000000003,15.6477784,120.43628853333333,6.971064066666667,0.39999993333333334,299.28468799999996,0.0,302.0,7.866666666666666,58.254641666666664,58.254642,30.849302
2017-10-29 08:00:00,29.423333333333336,2.5853333333333333,76.033125,24.826666666666664,17.27777773333333,170.01205333333334,9.315245333333333,0.2777777333333333,136.28964520000002,0.0006666666666666666,302.0,8.116666666666667,74.2043,74.2043,67.49474
2017-10-29 08:15:00,29.083333333333332,3.1043333333333334,90.273375,29.706666666666667,18.51555546666667,223.22099466666666,11.809846666666667,0.47111106666666663,97.36491893333333,0.0,302.0,8.366666666666667,89.64124166666667,89.64124,78.490685
2017-10-29 08:30:00,28.62333333333333,3.6300000000000003,103.891425,32.21333333333333,20.041111066666666,276.3031693333333,14.411850133333333,0.7877776666666667,100.58745413333332,0.0,302.0,8.616666666666667,103.62439166666667,103.62439,83.64174
2017-10-29 08:45:00,28.63,4.093500000000001,117.20235,32.10666666666667,20.711112,327.867104,17.009877066666668,1.3222222,116.09766800000001,0.0,302.0,8.866666666666667,117.54229166666667,117.54229,95.07095
2017-10-29 09:00:00,28.726666666666667,4.571333333333333,131.32019166666666,31.60666666666667,20.893334,379.7271386666667,19.84731813333333,2.0233335333333335,112.63448133333333,0.0,302.0,9.116666666666667,129.12653333333333,129.12653,120.92169
2017-10-29 09:15:00,28.62,5.005,143.24405,31.84,21.154444133333335,422.081632,22.6055576,2.127777866666667,107.14496933333334,0.0,302.0,9.366666666666667,141.06375,141.06375,125.02726
2017-10-29 09:30:00,28.3,5.4030000000000005,152.88977500000001,33.086666666666666,21.5600004,460.929408,25.3451,1.5133334,91.3508824,0.0,302.0,9.616666666666667,151.45965416666667,151.45966,126.77522
